trade_id,price,side,size,time
1,300.0,buy,0.01,2014-12-01T05:33:56.761199Z
2,300.0,sell,0.01,2014-12-01T05:40:23.076096Z
3,370.0,buy,0.01,2014-12-01T06:24:08.666679Z
4,370.0,buy,0.02655554,2014-12-01T06:50:12.679585Z
5,377.0,sell,0.01,2014-12-02T05:29:26.178172Z
6,377.75,sell,0.25,2014-12-02T10:59:09.955878Z
7,378.0,sell,3.75,2014-12-02T10:59:09.957409Z
8,378.0,sell,4.9,2014-12-02T11:04:17.456075Z
9,378.0,sell,5.2,2014-12-02T11:05:40.382426Z
10,378.0,sell,0.1,2014-12-02T18:43:00.191489Z
11,378.0,sell,0.7936,2014-12-02T18:58:23.079105Z
12,378.0,sell,0.01,2014-12-02T20:02:01.552322Z
13,377.9,sell,0.01,2014-12-03T05:35:56.695054Z
14,378.0,sell,0.0660842,2014-12-03T05:51:44.672901Z
15,378.0,sell,0.01052422,2014-12-03T06:08:09.234378Z
16,378.0,sell,0.35,2014-12-03T18:32:59.664987Z
17,377.01,buy,0.1,2014-12-03T20:06:26.722303Z
18,378.0,sell,0.01,2014-12-03T22:55:58.622557Z
19,377.1,buy,0.01,2014-12-04T01:48:05.650712Z
20,378.0,sell,0.015,2014-12-06T01:41:25.480009Z
21,375.01,buy,0.01,2014-12-08T22:26:26.90174Z
22,375.0,buy,0.225,2014-12-08T22:26:26.902175Z
23,398.0,sell,0.01,2014-12-10T02:42:44.796483Z
24,360.5,buy,0.01,2014-12-10T02:43:09.61377Z
25,379.0,buy,0.05,2014-12-12T03:30:01.697007Z
26,364.99,sell,0.01,2014-12-12T03:33:13.367308Z
27,360.5,buy,0.99,2014-12-12T03:44:35.567182Z
28,360.0,buy,0.1,2014-12-12T03:44:38.971616Z
29,350.0,buy,2.0,2014-12-12T03:46:05.567613Z
30,345.0,buy,1.0,2014-12-18T20:56:57.552085Z
31,340.0,buy,1.0,2014-12-18T20:56:57.552779Z
32,360.0,sell,0.01,2015-01-08T01:24:02.125747Z
33,271.84,buy,0.01,2015-01-08T01:27:21.136737Z
34,276.34,sell,0.01,2015-01-08T01:27:43.114073Z
35,295.19,buy,0.01,2015-01-08T01:28:08.266347Z
36,319.84,sell,0.01,2015-01-08T01:28:17.228866Z
37,271.6,sell,0.01,2015-01-08T01:28:31.4638Z
38,344.67,sell,0.01,2015-01-08T01:29:42.416998Z
39,346.41,sell,0.01,2015-01-08T01:30:14.93892Z
40,305.38,sell,0.01,2015-01-08T01:30:40.323004Z
41,345.11,buy,0.01,2015-01-08T01:31:07.924172Z
42,274.68,sell,0.01,2015-01-08T01:31:33.133842Z
43,270.35,buy,0.01,2015-01-08T01:31:48.113249Z
44,333.68,sell,0.01,2015-01-08T01:32:02.329537Z
45,334.97,sell,0.01,2015-01-08T01:32:43.955584Z
46,345.44,sell,0.01,2015-01-08T01:32:53.331463Z
